vre-4969017-007	vest	svet		Četrdesetogodišnji Amerikanac Aleks Honold spada među najbolje penjače po stenama na svetu.	„Mislim da sam se tokom godina navikao na strah.	On je stalno prisutan deo penjanja“, kaže Honold u klipu koji se širi društvenim mrežama.	OBJ
pol-749395-021	kolumna	pol-drustvo		Živim u Beogradu, koji je prema deci s posebnim potrebama gostoljubiviji, bolji, solidarniji i čestitiji nego velika većina gradova Evropske unije.	No, zamislite mog kolegu koji predaje istoriju s nepunim fondom časova u, recimo, Plandištu.	Njegovo desetogodišnje dete je u to vreme učilo u redovnoj školi, bez asistenta, uz pratnju i pomoć majke koja je radi negovanja takvog učenika napustila posao i život upodobila jednom teškom stanju (a ne bolesti).	SUBJ
vre-4981395-006	kolumna	pol-drustvo			Naime, Đinđić je tada hodao na štakama zbog povrede Ahilove tetive.	A kada poručuje Matiću da „nije jedini (pseudo)novinar koji je puštao bradu“, Centrar za dehumanizaciju mu prijeti da će biti ubijen poput Slavka Ćuruvije.	OBJ
vre-5006296-012	kolumna	pol-drustvo		I, treće, potrebno je da ciljna publika ne uvidi koliko stvar loše govori o vladavini prvog među nama jer auto star dvadeset godina i vredan dve-tri hiljade evra i jeste srpski prosek posle petnaest godina ove vlasti.	U pohodu škodom tako nema ničeg novog, ali ima potvrde da Vučić cilja još samo svoje hardkor biračko telo koje, kako pokazuju istraživanja, čine penzioneri i ljudi bez završene osmoljetke koji opsesivno gledaju zvanične televizijske kanale.	Dok paralelno traje odmazda prema svakome ko pisne, onaj paradni deo kampanje (koji će režimski mediji prenositi direktno sa predsedničkog Instagrama) biće otužniji nego ikad.	SUBJ
vre-4939623-015	kolumna	kultura		Ne moraš biti umetnički igrač da bi ti bilo jasno koja se igra ovde igra.	Stanica – servis za savremeni ples, reprezentativno udruženje i najznačajnija organizacija u oblasti savremenog plesa, neće dobiti novac od države ni za jedan projekat.	Marijana Cvetković, koja je osnovala Stanicu, navodi da je „ove godine, od ukupno 42 miliona dinara, preko 24 milina dato je za folklor.	SUBJ
pol-715941-006	vest	pol-drustvo		U sve brojnijim odeljenjima svega po nekoliko odlikaša.	Autoritet nastavnog osoblja i dalje je nesporan.	Đaci su s malo para, a s mnogo dečje radosti.	SUBJ
vre-4934520-015	kolumna	pol-drustvo		Partija koja se hvalila sa 700.000 članova, tvrdi da je u sedamdeset gradova okupila mizernih sedamdeset hiljada pristalica.	Otud što lokalne naprednjačke glavešine – nerijetko bahate i nesposobne – nisu lojalne vlastitim sugrađanima, već isključivo čovjeku koji im je u ruke dao narodne pare.	Glumeći provincijskog Trampa, Vučić je predstavio „čudesne mere“.	SUBJ
pol-775648-054	kolumna	svet		Ilone Markse, samo svrati u neku srpsku porodicu kad se pomene ostavinska rasprava, odnosno podela viška kapitala.	Povući ćeš svu inteligenciju na rezervni položaj, a sva digitalna pamet će da se preda i samoisključi.	Slično je i u Holivudu i na Kamčatki.	SUBJ
vre-5008147-016	kolumna	pol-drustvo		Da ne uvozi birače iz susednih zemalja, ne vodi paralelne spiskove, ne pravi bugarske vozove.	Za razliku od Vučićevog priznanja eventualnog poraza, ovo pobrojano nije u domenu hipoteze.	Njegov je režim svaki put hvatan u svim tim nepočinstvima i sada ih već naveliko sprovodi pred, biće, odsudne izbore.	SUBJ
vre-4991499-005	vest	pol-drustvo		Udruženje ukazuje i na to da je VST, suprotno stavovima stručne javnosti, nastavio praksu upućivanja tužilaca iz nižih u viša tužilaštva, konkretno u Više javno tužilaštvo u Beogradu.	Kritičari tvrde da se time favorizuje jedno tužilaštvo, dok mnoga druga širom Srbije ostaju drastično nepopunjena.	Prema oceni „Odbrane struke“, ovakvi potezi ukazuju na to da cilj Saveta nije usklađivanje sa evropskim standardima, već realizacija „postignutog dogovora Vrhovne tužiteljke i ministra pravde“.	OBJ
pol-771085-007	vest	pol-drustvo		Ne zna precizno kada će rekonstrukcija biti završena i dodaje „radićemo još dva meseca sigurno”.	Njegov kolega, manje pričljiv, ističe da ima još dosta posla, da je korozija nagrizla tu pešačku vezu grada i reke, da će na njoj biti ugrađeni odvodi koji nisu postojali i novi asfalt kao podloga.	Upitan ko je investitor, sleže ramenima.	SUBJ
pol-782624-001	vest	pol-drustvo		Počela je združena taktička vežba sa bojevim gađanjem „Pobednik 2026ˮ Vojske Srbije, a njena prva faza realizuje se na poligonu Pešter do 15. septembra, dok je druga faza planirana za kraj septembra i početak oktobra i realizovaće se u širem rejonu Loznice.	Vojska Srbije saopštila je da vežba „Pobednik 2026ˮ predstavlja ključnu priliku da se javnosti prikažu obučenost i spremnost jedinica Vojske Srbije uz upotrebu novouvedenih i modernizovanih sredstava.	Načelnik štaba Prve brigade Kopnene vojske potpukovnik Bojan Lakanović naveo je da se vežba realizuje u dve faze na poligonu Pešter, gde učestvuju jedinice Kopnene vojske u sadejstvu sa Ratnim vazduhoplovstvom i protivvazduhoplovnom odbranom, kao i specijalnim jedinicama.	OBJ
pol-762474-026	kolumna	ekonomija			Akcije „Spejs eksa” prodavaće se po ceni od 135 dolara.	Procenjena vrednost kompanije iznosi 1,77 triliona dolara – što je, po svim merilima, najveći IPO u istoriji sveta, više nego sedamdesetostruko veći od „Alibabe”, koji je 2014. prikupio 25 milijardi dolara i tada srušio rekord.	OBJ
vre-4970392-011	kolumna	pol-drustvo		Oni žive bijedno kao njihovi roditelji, a sva je prilika da će im tako živjeti i djeca.	Dakle – u satiranju na najgrubljim povremenim poslovima.	Što u toj eksploataciji ikome predstavljaju pojmovi demokracija, parlamentarizam, podjela vlasti, građanska prava?	SUBJ
pol-782624-004	vest	pol-drustvo		Prva faza, kako je rekao, traje od kraja avgusta do 15. septembra (marševanje čete i uvežbavanja), dok se centralna aktivnost i završna faza sa bojevim gađanjem izvode 13. septembra na Pešteru.	Druga faza vežbe planirana je za kraj septembra i početak oktobra.	Lakanović je istakao da posebno naglašava učešće Prve brigade čije će jedinice biti angažovane u obe faze vežbe.	OBJ
pol-782685-001	vest	pol-drustvo		Patrijarh srpski Porfirije danas je u Domu hrama Svetog Save razgovarao sa delegacijom Republike Liban, koja boravi u Beogradu na sastanku posvećenom 65. godišnjici održavanja Prve konferencije Pokreta nesvrstanih zemalja, saopšteno je iz Srpske pravoslavne crkve (SPC).	Visoku delegaciju Republike Liban činili su Mišel Menasa, ministar odbrane te zemlje, potpukovnik Mišel Majni, na funkciji šefa Kabineta ministra odbrane, general u penziji Naim Slejlati, koji je diplomatski savetnik ministra odbrane, i Jusef Žabr, ambasador Libana u Srbiji.	U srdačnoj atmosferi i otvorenom razgovoru, uvaženi gosti su upoznali patrijarha Porfirija sa iskušenjima sa kojima se Liban suočava usled složenih geopolitičkih prilika i ratnih dejstava na Bliskom istoku.	OBJ
vre-4928805-010	kolumna	kultura		Zašto se nisu prijavili na Festival scenarija nismo proveravali, u uverenju da imaju neki dobar i opravdan razlog.	Nijedan od navedenih filmova nje produkcija Željka Mitrovića.	Zapravo na sajtu FCS-a ni jedan naslov nije bio iz „Apollon Media“.	OBJ
pol-761290-019	kolumna	pol-drustvo			Zamislite da ga je neko dohvatio i naučio pameti.	Sava i Dunav ga ne bi oprali, jer bi ispalo da je istukao dete, a niko neće uzeti u obzir da je to dete prethodno ciljano bilo poslato da vređa ljude, da im psuje sve do desetog kolena i da bukvalno traži sukob.	SUBJ
pol-763002-032	kolumna	sport		Posle dve godine u klubu su mu rekli da donese krštenicu i dve slike.	To je ono, kad te registruju kao igrača.		SUBJ
pol-772423-037	kolumna	pol-drustvo		U svetlu moderne psihologije i analize devijacija moći, ovo saznanje predstavlja ključnu kariku.	Čovek koji kod kuće nema autoritet, niti moć pred sopstvenom suprugom druge nacionalnosti, profesionalni teren koristi kao arenu za kompenzaciju svojih ličnih frustracija.	Funkcija državnog tužioca daje mu aparat institucionalnog nasilja.	SUBJ
vre-4973530-002	kolumna	kultura		Oni su od imenovanja do sad već imali pet sednica, pokušavajući da u skladu sa promenom Odluke o stalnim manifestacijama i najnovijim Pravilima Bitefa, kreiraju program ovogodišnjeg Bitefa.	Naime, prema Odluci o Izmenama i dopunama odluke o stalnim manifestacijama u oblasti kulture od značaja za grad Beograd koja je doneta maja prošle godine, te manifestacije više nemaju umetničke direktore.	Program manifestacije utvrđuje Odbor, s tim što, po potrebi, može da predloži saradnike koji će Odboru predložiti program.	OBJ
vre-4966200-012	kolumna	pol-drustvo		Šanse nema, kaže, ne bi preživela, sneg se pretvorio u ledenu ploču.	Za beogradske gradske očeve sve je to normalno i šta ko ima da se žali što je u januaru pao sneg pa još udario i minus.	Božja volja, viša sila, poručuju Beograđanima, a ko misli drugačije taj je diletant, što reče gradonačelnik, dr. Aleksenadar Šapić.	SUBJ
pol-750140-036	kolumna	pol-drustvo		Loša vest za sve Srbe jeste i izborni poraz Viktora Orbana, sjajnog političara i još boljeg prijatelja, dok Ursula i Kaja u Briselu rastu od sreće.	Bošnjačko Sarajevo posebno je nasekiralo to što Dodik 25. aprila opet putuje u SAD, i to na Svetski forum lidera i da primi priznanje „za liderstvo i borbu za suverenitet i demokratiju” Univerziteta Čad iz Čikaga, kao i gostovanje Trampa juniora kod Dodika juniora.		SUBJ
vre-5012460-017	kolumna	pol-drustvo		Psihologija, naravno, ima jasnu dijagnozu za osobe lišene emocija.	Ali ovde nije reč o postavljanju dijagnoze, nego o porukama koje besramni Vučićevi gestovi nose.	Predsednik Republike je, naime, naložio direktorki RFZO da ga „ne maltrtira procedurama birokratskim“.	SUBJ
pol-776155-006	vest	kultura		Prema pisanju „Gardijana”, bilo je poziva na proteste ispred Paladijuma zbog njegovog nastupa.	Jedan od kolega Boja Džordža iz osamdesetih godina, Martin Ver, opisao je pesmu kao „otvoreno progenocidni, antipalestinski deo muzičke propagande” i rekao da bi Boj Džordž trebalo da se „stidi”.	Prethodno je, međutim, svojim kritičarima odgovorio na mreži „Iks” povodom svih kontroverzi koje je izazvala njegova pesma: „Nije važno šta ja mislim ili šta ti misliš.	OBJ
pol-773024-010	kolumna	pol-drustvo		Sve dok se jednom prilikom nisam otrgao i zagazio u bistrinu reke do kolja ispod kojeg je voda ispirala tanke strune konoplje.	Tako sam naučio na plivam i da ne potanjam kao sekirče.	Kad su me videle, baba je počela da nariće, a majka da me grdi i naređuje mi da se vratim u plićak.	SUBJ
pol-775648-053	kolumna	svet			Ilone Markse, samo svrati u neku srpsku porodicu kad se pomene ostavinska rasprava, odnosno podela viška kapitala.	Povući ćeš svu inteligenciju na rezervni položaj, a sva digitalna pamet će da se preda i samoisključi.	SUBJ
vre-5000401-008	vest	pol-drustvo		Demeter Filipčev podseća predsednika opštine „koji se ponaša kao da je pravni stručnjak“ i dovodi u pitanje njihovu stručnost kao majki, da je završio Poljoprivredni fakultet.	„Tako da osnovano sumnjam da ne poznaje baš sve članove Zakona o opštem upravnom postupku, koji predviđa da opština po službenoj dužnosti treba da pribavi podatke i da obezbedi to što deci pripada.		OBJ
vre-4932680-046	kolumna	kultura		Najlepši pop sa, doduše, jednim malim obrtom, suptilnom, začudnom stranputicom, koja ga je možda otela od mejnstrima i šire publike, ali i zauvek smestila u moje srce.	Čista, nežna lepota”, kaže Ognjenka Lakićević za “Vreme”.		OBJ
pol-771394-016	kolumna	pol-drustvo		U sporazumu učestvuju i privatne američke kompanije koje se bave izgradnjom infrastrukture za boravak na Mesecu, satelitima u orbiti, prenosom ogromnih težina kroz svemir, a ko zna, možda i eksploatacijom na Marsu.	Lansiranje raketa, posebno višekratnih, trenutno je jedan od najvećih biznisa na svetu – pitajte ona dva siromaha Maska i Bezosa.	Ili Kinu, koja ih u povratku na Zemlju hvata spektakularnim platformama na vodi.	SUBJ
pol-761066-054	kolumna	pol-drustvo		Ta istina je nekima neuobičajeno neprijatna.	Kao navodni dokaz da društvo nije ispalo onakvo kako je projektovano.	Ako se složimo da postoje Srbija iz konferencijskih sala, sa panela, i Srbija iz crkvenih porti, Srbija iz istraživanja javnog mnjenja i Srbija iz reda pred svetinjom, složićemo se da one nisu iste.	SUBJ
vre-4994180-012	vest	kultura		Tu prvu verziju režirao je Božidar Đurović, a ovu obnovljenu Ivana Dragutinović Maričić.	Zatim je u februaru bila premijerna obnova Verdijevog Don Karlosa pod dirigentskom palicom gosta iz Španije maestra Serhija Alaponta, dok je režiju Mladena Sabljića obnovila Ivana Dragutinović Maričić.		OBJ
pol-776920-003	vest	kultura		Ovogodišnji Sabor doneće koncerte, takmičenja trubačkih orkestara, kao i prateće kulturne programe posvećene tradiciji Dragačeva.	Tokom tri festivalska dana posetioci će moći da čuju nastupe poznatih trubačkih sastava, među kojima su Bojan Ristić, Dejan Petrović Big Band, Boban Marković, Dejan Lazarević, Ekrem Mamutović i Dejan Jevđić.	Centralni deo programa biće finalno takmičenje najboljih trubačkih orkestara Srbije, koje je zakazano za nedelju, kada će se ansambli nadmetati za priznanja Sabora i titulu najboljih u tradicionalnoj trubačkoj muzici.	OBJ
pol-771394-011	kolumna	pol-drustvo			Šepurio se kao paun, ali ima zašto.	Eksploatacija helijuma-3 i drugih kritičnih sirovina s Meseca sve je bliža.	SUBJ
pol-783303-014	vest	kultura		Ova izložba objedinjuje pogled na značaj i doprinos ove Nagrade umetničkoj sceni Srbije sa pogledom na prakse umetnika dobitnika Nagrade i nudi dvadeset i pet različitih odgovora na isto pitanje: šta danas znači praviti umetnost koja pomera granice medija, jezika i mišljenja.	Na izložbi su predstavljeni radovi dobitnika i dobitnica koji, sagledani zajedno, iscrtavaju mapu jedne scene u stalnom preispitivanju sebe same.		OBJ
vre-4975127-015	vest	svet		„Mogu da uradim šta god želim, ali ne mogu da naplatim novac“, rekao je Tramp, dodajući da ima ovlašćenja da uvede embargo ili potpuno obustavi trgovinu sa pojedinim zemljama.	Sud je odmah napao da „podležu uticaju stranih interesa“.	Tramp je dodao da Sjedinjene Američke Države ne planiraju da vraćaju novac kompanijama zbog carina koje su prošle godine uvedene nizu stranih zemalja.	OBJ
vre-4982828-017	vest	pol-drustvo		Vlada je takođe odlučila da će se od 31. marta pa nadalje cene naftnih derivata određivati nedeljno, umesto svakih 14 dana.	U susednoj Albaniji cena dizela bila je 16. marta 2,072 evra za litar (243 dinara) što je više nego u Srbiji.	Litar benzina u Albaniji koštao je 2,03 evra za litar odnosno 238 dinara, navodi se na sajtu Global Petrol Prices.	OBJ
pol-782898-000	vest	pol-drustvo			Požar sam po sebi ne menja namenu zemljišta i ne sme da bude prečica do građevinskog zemljišta, izjavio je danas predsednika Odbora za prostorno planiranje, saobraćaj, infrastrukturu i telekomunikacije Uglješa Marković povodom amandmana kojim se omogućava izgradnja javne infrastrukture na prostoru koji je nekada zahvatio požar.	„Ovaj amandman nema nikakve veze sa vlasništvom nad zemljištem, već se isključivo odnosi na pitanje njegove namene i načina na koji se ona može menjatiˮ, rekao je Marković.	OBJ
vre-4973520-001	vest	pol-drustvo		U čačanskoj bolnici obustavljene su sve „hladne operacije“, uvedene su privremene mere i upućeni su timovi iz kliničkih centara Kragujevca i Beograda, koji će raditi operacije koje se ne mogu odložiti i nadziraće sistem, izjavio je ministar zdravlja Zlatibor Lončar za Radio-televiziju Srbije.	Lončar je, povodom dva smrtna slučaja smrti posle operacija krajnika u toj bolnici, rekao da će inspekcije sve utvrditi, a uključilo se i tužilaštvo.	„Ne želim unapred da prejudiciram ko je odgovoran.	OBJ
vre-4983057-002	vest	pol-drustvo		Rešenje o potvrđivanju optužnice danas će biti poslato okrivljenima i njihovim braniocama, i oni imaju tok od tri dana od primanja rešenja da ulože žalbe Apelacionom sudu u Nišu, izveštava agencija FoNet.	Dvogodišnja Danka Ilić nestala je tokom boravka sa majkom i starijim bratom na imanju u Banjskom Polju 26. marta 2024. godine, a njeno telo do danas nije pronađeno.	Osumnjičeni Dejan Dragijević i Srđan Janković nalaze se u pritvoru u Zaječaru od hapšenja.	OBJ
vre-5015033-008	vest	sport		Kvalifikacioni sistem za Svetsko prvenstvo, koje se održava naredne godine u Dohi, sastoji se od dve faze.	Prve u kojoj postoje grupe od po četiri reprezentacije iz koje tri najbolje idu u drugu grupu, gde se spajaju s tri najbolje iz druge grupe.	Iz druge faze na Mundobasket idu najbolje tri plasirane reprezentacije.	OBJ
pol-759678-007	kolumna	hronika		A čim su pripadnici JNA i srpskih paravojnih jedinica ušli u selo, počeli su pljačkati i paliti kuće te maltretirati preostalo malobrojno hrvatsko stanovništvo.	Pripadnici srpskih paravojnih jedinica uhapsili su jednog od moje braće i zatvorili ga u kninskom zatvoru, tako da smo majka, drugi brat i ja u kući ostali sami.		OBJ
