sentence_id	label	nedoumica	napomena	annotator
bli-41869799782-005	OBJ			Anica
pol-782898-001	OBJ			Anica
pol-771085-002	OBJ			Anica
n1i-124956-004	OBJ			Anica
rts-5922605-010	SUBJ			Anica
bli-57393859413-003	OBJ			Anica
n1i-770591-017	SUBJ			Anica
bli-65121201597-002	OBJ			Anica
n1i-720270-034	OBJ			Anica
dan-472807206306-007	OBJ			Anica
rts-6035594-023	OBJ			Anica
n1i-417709-039	OBJ			Anica
dan-388455945945-006	SUBJ			Anica
pol-756279-008	SUBJ			Anica
bli-13582197086-003	OBJ			Anica
dan-353908777753-008	SUBJ			Anica
vre-4975127-020	OBJ			Anica
n1i-722816-023	SUBJ			Anica
pol-749395-019	SUBJ			Anica
pol-771171-037	SUBJ			Anica
n1i-992196-009	SUBJ			Anica
rts-5996881-012	OBJ			Anica
n1i-609675-016	SUBJ	Y		Anica
pol-762474-028	OBJ			Anica
bli-74843587221-034	OBJ			Anica
vre-4927972-030	SUBJ			Anica
bli-10273523353-005	SUBJ			Anica
pol-779307-000	OBJ			Anica
bli-10661856054-004	OBJ			Anica
pol-773024-012	SUBJ			Anica
n1i-583616-005	SUBJ			Anica
n1i-341790-000	OBJ			Anica
bli-36086159212-001	OBJ			Anica
bli-12874271836-003	OBJ			Anica
pol-756787-028	SUBJ			Anica
vre-4981395-013	OBJ			Anica
dan-848007019343-023	SUBJ			Anica
dan-997701263776-009	OBJ			Anica
vre-4977512-007	OBJ			Anica
rts-6030572-002	OBJ			Anica
rts-6037115-027	OBJ			Anica
pol-718657-003	SUBJ	Y		Anica
rts-5863565-012	OBJ			Anica
dan-342624403880-003	OBJ			Anica
pol-749400-032	OBJ			Anica
dan-223022264918-008	SUBJ			Anica
n1i-288928-022	SUBJ			Anica
vre-4934233-027	OBJ			Anica
bli-74432851928-001	OBJ			Anica
dan-983130627570-010	OBJ			Anica
bli-6905056231-005	OBJ			Anica
vre-4978189-000	OBJ			Anica
n1i-467835-011	SUBJ			Anica
vre-4957979-022	OBJ			Anica
pol-770279-020	OBJ			Anica
n1i-514975-009	SUBJ			Anica
bli-70949011516-004	OBJ			Anica
n1i-537390-003	OBJ			Anica
n1i-315167-018	OBJ			Anica
n1i-244258-028	SUBJ			Anica
pol-783067-000	OBJ			Anica
vre-5010643-006	SUBJ			Anica
dan-861209451198-012	OBJ			Anica
vre-4972996-010	SUBJ			Anica
rts-5526817-045	OBJ			Anica
pol-748724-016	SUBJ			Anica
n1i-597570-002	OBJ			Anica
rts-5548870-010	OBJ			Anica
vre-5009070-011	SUBJ			Anica
bli-46800433886-005	OBJ			Anica
n1i-148573-009	OBJ			Anica
vre-4983057-000	OBJ			Anica
n1i-154621-024	OBJ			Anica
bli-55144293120-004	OBJ			Anica
dan-300071456986-004	OBJ			Anica
vre-5000401-001	OBJ			Anica
n1i-901147-007	OBJ			Anica
pol-764415-046	SUBJ			Anica
n1i-995339-004	OBJ			Anica
