sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	in_quote	text_marked	member	label	izvor_oznake	pravilo
bli-28702987466-008	blic	28702987466	vest	svet	svet	8	12	https://www.blic.rs/vesti/svet/vitkof-nema-vesti-o-napretku-u-oslobadjanju-talaca-iz-gaze/d6p0mve	Pregovori sa njim su bili frustrirajući, a sada mislimo da treba da uradimo sve ili ništa", istakao je on.	Y	„Pregovori sa njim su bili frustrirajući, a sada mislimo da treba da uradimo sve ili ništa", istakao je on.“	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-29621128562-005	blic	29621128562	vest	pol-drustvo	politika	5	15	https://www.blic.rs/vesti/politika/demonstranti-ispred-kuce-djura-macuta-blokada-autokomande-otkazana/dlvnl2q	Protest na Voždovcu završen je održavanjem komemorativne akcije "16 minuta tišine" za poginule u padu nadstrešnice na Železničkoj stanici Novi Sad.		Protest na Voždovcu završen je održavanjem komemorativne akcije "16 minuta tišine" za poginule u padu nadstrešnice na Železničkoj stanici Novi Sad.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-3327590740-003	blic	3327590740	vest	ekonomija	biznis	3	8	https://www.blic.rs/biznis/vesti/hrvatska-povlaci-sa-trzista-deciju-hranu-griz-zbog-plastike/1j15tg4	EAN / MAN proizvod je 9000275500619 / 346834, serija RA25006601, a opoziv se odnosi na datum isteka 2.7.2026.		EAN / MAN proizvod je 9000275500619 / 346834, serija RA25006601, a opoziv se odnosi na datum isteka 2.7.2026.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-33380391920-007	blic	33380391920	vest	pol-drustvo	drustvo	7	13	https://www.blic.rs/vesti/drustvo/policija-i-vatrogasci-pritekli-u-pomoc-gradjanima-vanredna-situacija-u-11-opstina-u/fc1tn8w	Podsetimo, u 11 opština u Srbiji proglašena je vanredna situacija i iz sata u sat, situacija na terenu se menja.	Y	„Podsetimo, u 11 opština u Srbiji proglašena je vanredna situacija i iz sata u sat, situacija na terenu se menja.“	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-34999235599-003	blic	34999235599	vest	svet	svet	3	12	https://www.blic.rs/vesti/svet/amerika-ostro-odbila-sokantnu-ponudu-teherana-ovo-je-kljucni-uslov-za-kraj-rata/g2tn30v	Oni ne mogu da prikažu normalnim, niti im mi to možemo tolerisati, sistem prema kojem su Iranci ti koji odlučuju ko će koristiti moreuz, rekao je američki državni sekretar u intervjuu za Foks njuz.		Oni ne mogu da prikažu normalnim, niti im mi to možemo tolerisati, sistem prema kojem su Iranci ti koji odlučuju ko će koristiti moreuz, rekao je američki državni sekretar u intervjuu za Foks njuz.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-36009458462-005	blic	36009458462	vest	pol-drustvo	drustvo	5	16	https://www.blic.rs/vesti/drustvo/stravicni-prizori-nevremena-kod-cacka-vetar-cupao-drvece-i-krovove-osteceno-vise-kuca/gjj3nz2	Duvao je snažan vetar, a kiša i grad padali su pod uglom.		Duvao je snažan vetar, a kiša i grad padali su pod uglom.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-36086159212-001	blic	36086159212	vest	kultura	kultura	1	5	https://www.blic.rs/kultura/retko-vidjena-slika-pjera-ogista-renoara-prodata-za-145-miliona-evra/gksrmng	Slika nazivana ''Dete sa igračkama - Gabrijela i umetnikov sin Žan'', koju je Renoar naslikao oko 1895. godine, slikar je poklonio Žani Bodo, svojoj jedinoj učenici i bliskoj prijateljici i od tada je slika bila u vlasništvu njene porodice, prenosi Rojters.		Slika nazivana ''Dete sa igračkama - Gabrijela i umetnikov sin Žan'', koju je Renoar naslikao oko 1895. godine, slikar je poklonio Žani Bodo, svojoj jedinoj učenici i bliskoj prijateljici i od tada je slika bila u vlasništvu njene porodice, prenosi Rojters.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-36147663713-008	blic	36147663713	vest	pol-drustvo	drustvo	8	26	https://www.blic.rs/vesti/drustvo/strucnjaci-o-sprecavanju-femicida-treba-biti-na-oprezu-cak-i-kada-je-neko-osudjen/gltdvtt	Obično je to poslednji čin dugog niza nasilja, pretnji i nemoći.		Obično je to poslednji čin dugog niza nasilja, pretnji i nemoći.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	usaglaseno	P4
bli-41869799782-005	blic	41869799782	vest	pol-drustvo	drustvo	5	6	https://www.blic.rs/vesti/drustvo/dva-teretna-vagona-iskliznula-iz-sina-u-subotici-oglasili-se-iz-infrastrukture/j8g749y	Zahvaljujući dvoputom želenzičkom vozilu, posledice najvećeg broja nesreća i nezgoda otklanjaju se u veoma kratkom roku - navodi se.		Zahvaljujući dvoputom želenzičkom vozilu, posledice najvećeg broja nesreća i nezgoda otklanjaju se u veoma kratkom roku - navodi se.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-44504394263-018	blic	44504394263	vest	pol-drustvo	politika	18	21	https://www.blic.rs/vesti/politika/zelenski-se-oglasio-po-dolasku-u-srbiju-otkrio-o-cemu-ce-razgovarati-s-vucicem/kg0rmdz	"Sa predsednikom Ukrajine Volodimirom Zelenskim razgovarao sam o odnosima naših zemalja i izrazio iskrenu zahvalnost na gostoprimstvu i srdačnom prijemu.		"Sa predsednikom Ukrajine Volodimirom Zelenskim razgovarao sam o odnosima naših zemalja i izrazio iskrenu zahvalnost na gostoprimstvu i srdačnom prijemu.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-44931989013-005	blic	44931989013	vest	svet	svet	5	13	https://www.blic.rs/vesti/svet/sef-iaea-otkrio-u-kakvom-je-stanju-nuklearna-elektrana-zaporozje/kn3cglx	- U isto vreme bilo je neophodno obezbediti kontinuitet misije i stalno prisustvo naših eksperata na elektrani.		- U isto vreme bilo je neophodno obezbediti kontinuitet misije i stalno prisustvo naših eksperata na elektrani.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-4501436039-004	blic	4501436039	vest	pol-drustvo	beograd	4	8	https://www.blic.rs/vesti/beograd/decaka-14-dvojica-vrsnjaka-brutalno-tukla-u-skoli-u-beogradu-treci-sve-snimao/22g1e9z	O slučaju je obavešteno nadležno tužilaštvo i to odeljenje za maloletnike kao i Centar za socijalni rad u Beogradu.		O slučaju je obavešteno nadležno tužilaštvo i to odeljenje za maloletnike kao i Centar za socijalni rad u Beogradu.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-46800433886-005	blic	46800433886	vest	pol-drustvo	politika	5	6	https://www.blic.rs/vesti/politika/oglasio-se-mup-o-policajcu-marku-beljanskom-i-incidentima-na-protestu-u-novom-sadu/lhzrpwe	Apelujemo na građane da ne objavljuju neproverene informacije, a pogotovo da se uzdrže od pretnji bilo kome, jer time čine krivično delo i stvaraju atmosferu koja nije u interesu građana, bez obzira na prirodu njihovih političkih opredeljenja i ciljeve koje žele da ostvare - navodi se u saopštenju MUP.		Apelujemo na građane da ne objavljuju neproverene informacije, a pogotovo da se uzdrže od pretnji bilo kome, jer time čine krivično delo i stvaraju atmosferu koja nije u interesu građana, bez obzira na prirodu njihovih političkih opredeljenja i ciljeve koje žele da ostvare - navodi se u saopštenju MUP.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-49788632110-003	blic	49788632110	vest	ekonomija	biznis	3	11	https://www.blic.rs/biznis/vesti/brent-nafta-pala-ispod-90-dolara-cena-najnizem-nivou-u-poslednja-2-meseca/mvev6em	Najširi MSCI indeks azijsko-pacifičkih akcija bez Japana porastao je za 3,2 odsto.		Najširi MSCI indeks azijsko-pacifičkih akcija bez Japana porastao je za 3,2 odsto.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-50659446364-052	blic	50659446364	kolumna	pol-drustvo	politika	52	65	https://www.blic.rs/vesti/politika/cedomir-antic-pise-za-blic-izdaja-kroz-istoriju/n9tbqzg	Suze majke, žene i dece podstakle su ga da odvrati svoju vojsku ali je zbog toga ubijen.		Suze majke, žene i dece podstakle su ga da odvrati svoju vojsku ali je zbog toga ubijen.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	usaglaseno	P5
bli-50940487061-008	blic	50940487061	vest	pol-drustvo	beograd	8	36	https://www.blic.rs/vesti/beograd/popunjeni-skoro-svi-termini-za-vadjenje-pasosa-ako-ne-uspete-da-zakazete-ovo-vam-je/negnfdh	Situacija je još gora u PU Novi Sad 1, 2, i 3 u Bulevaru kralja Petra I, gde je prvi slobodan termin za zakazivanje za vađenje pasoša moguće naći od 12. avgusta.		Situacija je još gora u PU Novi Sad 1, 2, i 3 u Bulevaru kralja Petra I, gde je prvi slobodan termin za zakazivanje za vađenje pasoša moguće naći od 12. avgusta.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	usaglaseno	P7
bli-51675881736-037	blic	51675881736	vest	svet	svet	37	44	https://www.blic.rs/vesti/svet/kako-je-dmitrij-medvedev-iskoristio-rat-u-ukrajini-da-uveca-svoje-bogatstvo/nqmhhjc	Prema Sistema, skoro svi ti posedi i dalje su pod kontrolom iste mreže organizacija - a u međuvremenu su stečeni i novi.		Prema Sistema, skoro svi ti posedi i dalje su pod kontrolom iste mreže organizacija - a u međuvremenu su stečeni i novi.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-55144293120-004	blic	55144293120	vest	pol-drustvo	drustvo	4	7	https://www.blic.rs/vesti/drustvo/egzodus-srba-iz-grcke-haos-na-evzoniju-formira-se-kolona-i-na-dojranu/pbzhkw0	Jutros u 8.45h kako javljaju Srbi sa graničnog prelaza Evzoni, bilo je gužve, ali su turisti pretežno u ranim jutarnjim časovima bez muke prolazili najprometniji granični prelaz između Grčke i Severne Makedonije.		Jutros u 8.45h kako javljaju Srbi sa graničnog prelaza Evzoni, bilo je gužve, ali su turisti pretežno u ranim jutarnjim časovima bez muke prolazili najprometniji granični prelaz između Grčke i Severne Makedonije.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	usaglaseno	P3
bli-56113552149-032	blic	56113552149	vest	pol-drustvo	beograd	32	39	https://www.blic.rs/vesti/beograd/uredjenje-beogradskog-priobalja-i-ciscenje-reka-iz-save-izvuceni-sporeti-i-frizideri/ps0k5xx	"Za 10 do 15 dana krećemo još jedan projekat da gradimo, a to je od 45. bloka do samog 'Ekspa', tako da se otvaraju pešačko-biciklističke staze i drugi sadržaji skoro tridesetak kilometara u jednom smeru", naglašava Puzović.		"Za 10 do 15 dana krećemo još jedan projekat da gradimo, a to je od 45. bloka do samog 'Ekspa', tako da se otvaraju pešačko-biciklističke staze i drugi sadržaji skoro tridesetak kilometara u jednom smeru", naglašava Puzović.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-57014420107-007	blic	57014420107	vest	kultura	kultura	7	9	https://www.blic.rs/kultura/svetski-dan-pozorista-atelje-212-otvara-vrata-otkrijte-tajne-arhitekturu-i-nasledje/q6www3v	Šetnju vode prof. dr Radivoje Dinulović, Gordana Goncić, Marija Jevtić i Goran Mirković.		Šetnju vode prof. dr Radivoje Dinulović, Gordana Goncić, Marija Jevtić i Goran Mirković.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-57393859413-003	blic	57393859413	vest	pol-drustvo	politika	3	9	https://www.blic.rs/vesti/politika/umro-rajko-danilovic-zastupao-porodicu-djindjic-nakon-ubistva-premijera/qd6tlcl	Bio je član je Programskog tima Instituta za javnu politiku.		Bio je član je Programskog tima Instituta za javnu politiku.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-60543088098-006	blic	60543088098	vest	hronika	hronika	6	16	https://www.blic.rs/vesti/hronika/vracarci-ubili-vladimira-popovica-zvanog-vlada-pop-saradnika-luke-bojovica-u-punom/rt9shr6	Popović je ustao i nasrnuo na naoružanog napadača i njih dvojica ispali su iz kafića.		Popović je ustao i nasrnuo na naoružanog napadača i njih dvojica ispali su iz kafića.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-60972962282-010	blic	60972962282	vest	pol-drustvo	drustvo	10	13	https://www.blic.rs/vesti/drustvo/uzas-u-novom-pazaru-jasmin-u-bazenu-na-vikendici-zatekao-jeziv-prizor/s0dq6sq	Jedan od komentara bio je i konkretan predlog da se slučaj prijavi nadležnima.		Jedan od komentara bio je i konkretan predlog da se slučaj prijavi nadležnima.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-63006732976-002	blic	63006732976	vest	pol-drustvo	beograd	2	4	https://www.blic.rs/vesti/beograd/tri-osobe-povredjene-u-sudarima-pune-ruke-posla-za-hitnu-pomoc-u-beogradu/sy0kyb4	Ekipe Hitne pomoći intervenisale su 111 puta tokom noći, a od toga su 32 intervencije bile na javnom mestu uglavnom zbog osoba u alkoholisanom stanju.		Ekipe Hitne pomoći intervenisale su 111 puta tokom noći, a od toga su 32 intervencije bile na javnom mestu uglavnom zbog osoba u alkoholisanom stanju.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-65121201597-002	blic	65121201597	vest	pol-drustvo	drustvo	2	8	https://www.blic.rs/vesti/drustvo/drama-kod-cacka-dvojica-monaha-i-vatrogasci-spasili-dete-sa-litice-visoke-15-metara/twzhcql	- Incident se dogodio sinoć oko 20 časova, kada se dete iz za sada neutvrđenih razloga popelo na liticu sa koje više nije moglo bezbedno da siđe.		- Incident se dogodio sinoć oko 20 časova, kada se dete iz za sada neutvrđenih razloga popelo na liticu sa koje više nije moglo bezbedno da siđe.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-68156912677-058	blic	68156912677	kolumna	pol-drustvo	politika	58	67	https://www.blic.rs/vesti/politika/cedomir-antic-kolumna-zasto-ne-volim-radikale/vb6v6ed	Neobično je da je na tridesetu godišnjicu početka najvećeg izazova srpskom narodu posle osmanskog osvajanja (2020), pod jednom populističkom i delimično autoritarnom vladom SNS-a Srbija doživela da nekada duboko podeljena, oko svih velikih pitanja unutrašnje i spoljne politike bude saglasno između 80 i 90% njenih građana.		Neobično je da je na tridesetu godišnjicu početka najvećeg izazova srpskom narodu posle osmanskog osvajanja (2020), pod jednom populističkom i delimično autoritarnom vladom SNS-a Srbija doživela da nekada duboko podeljena, oko svih velikih pitanja unutrašnje i spoljne politike bude saglasno između 80 i 90% njenih građana.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	saglasnost	
bli-6905056231-005	blic	6905056231	vest	pol-drustvo	politika	5	6	https://www.blic.rs/vesti/politika/kurti-kandidat-samoopredeljenja-za-premijera-na-izbore-ce-i-vjosa-osmani-ali-bez/3673bhj	Vanredni izbori za skupštinu privremenih institucija samouprave u Prištini biće održani 7. juna, pošto skupština nije uspela da izabere predsednika privremenih institucija u roku koji je odredio ustavni sud.		Vanredni izbori za skupštinu privremenih institucija samouprave u Prištini biće održani 7. juna, pošto skupština nije uspela da izabere predsednika privremenih institucija u roku koji je odredio ustavni sud.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-69573754796-024	blic	69573754796	kolumna	svet	politika	24	68	https://www.blic.rs/vesti/politika/cedomir-antic-pise-za-blic-u-crnoj-gori-je-moguce-biti-srbin-a-biti-protiv-srbije/vymf0rw	Nekada jedinstveni srpski narod Crne Gore, formalno se izjašnjavao kao nova nacija, ali su vremenom crnogorski i jugoslovenski identitet postali realnost, dok je srpstvo svedeno na folkor i jedno u Beogradu neverovatno, ali u Crnoj Gori fundamentalno, pitanje „hoće li nam izvanjci nešto određivati“.		Nekada jedinstveni srpski narod Crne Gore, formalno se izjašnjavao kao nova nacija, ali su vremenom crnogorski i jugoslovenski identitet postali realnost, dok je srpstvo svedeno na folkor i jedno u Beogradu neverovatno, ali u Crnoj Gori fundamentalno, pitanje „hoće li nam izvanjci nešto određivati“.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	usaglaseno	P13
bli-70949011516-004	blic	70949011516	vest	pol-drustvo	beograd	4	20	https://www.blic.rs/vesti/beograd/ministarka-sofronijevic-do-kraja-godine-bice-gotova-nova-zeleznicka-stanica-novi/wld7jng	"Ništa se ne urušava, radovi su bezbedni"		"Ništa se ne urušava, radovi su bezbedni"	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-71230383589-002	blic	71230383589	vest	pol-drustvo	politika	2	13	https://www.blic.rs/vesti/politika/drasko-stanivukovic-nakon-izlaska-iz-pritvora-u-hrvatskoj-od-koga-i-od-cega-stitite/wq0qbqd	- Nakon nove torture u Hrvatskoj, postavljam jednostavno pitanje: da li je ovo granični prelaz iz jedne zemlje u drugu, ili prelaz u neko drugo doba u kojem evropski zakoni i pravila više ne važe? - upitao je on.		- Nakon nove torture u Hrvatskoj, postavljam jednostavno pitanje: da li je ovo granični prelaz iz jedne zemlje u drugu, ili prelaz u neko drugo doba u kojem evropski zakoni i pravila više ne važe? - upitao je on.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-73198626059-000	blic	73198626059	vest	hronika	hronika	0	7	https://www.blic.rs/vesti/hronika/decak-13-vozio-golf-pa-se-zakucao-u-vozilo-sa-bebom-uzas-kod-bijelog-polja/xmkklcb	Maloletnik (13) iz Bijelog Polja povredio je više osoba u saobraćajnoj nezgodi u Ravnoj Rijeci, upravljajući putničkim motornim vozilom.		Maloletnik (13) iz Bijelog Polja povredio je više osoba u saobraćajnoj nezgodi u Ravnoj Rijeci, upravljajući putničkim motornim vozilom.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-7345015666-011	blic	7345015666	vest	pol-drustvo	drustvo	11	12	https://www.blic.rs/vesti/drustvo/micin-ocekujem-da-ce-deo-zeleznicke-stanice-u-novom-sadu-biti-otvoren-do-15-septembra/3dh16cy	Stanica u Petrovaradinu je preopterećena, nije projektovana za broj putnika koji trenutno preko nje koristi železnički saobraćaj.		Stanica u Petrovaradinu je preopterećena, nije projektovana za broj putnika koji trenutno preko nje koristi železnički saobraćaj.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-73740714019-026	blic	73740714019	vest	pol-drustvo	politika	26	56	https://www.blic.rs/vesti/politika/milos-vucevic-na-pomenu-u-bratuncu-blokadama-nece-dovesti-do-politicke-promene/xvjbf37	- Ko im daje za pravo da razbijaju naše prostorije.		- Ko im daje za pravo da razbijaju naše prostorije.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-73951088455-010	blic	73951088455	vest	pol-drustvo	drustvo	10	18	https://www.blic.rs/vesti/drustvo/jutro-na-blic-30-godina-od-velikih-studentskih-protesta/xz0kh1j	SPREMNI NA SVE, ZARAD ČEGA?		SPREMNI NA SVE, ZARAD ČEGA?	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	saglasnost	
bli-74184149100-000	blic	74184149100	vest	pol-drustvo	politika	0	6	https://www.blic.rs/vesti/politika/tuzilastvo-u-subotici-obustavilo-istragu-protiv-arbnora-spahijua/y2vbrsc	Više javno tužilaštvo u Subotici obustavilo je istragu protiv bivšeg pripadnika Specijalne jedinice Kosovske policije Arbnora Spahijua koji je bio osumnjičen za teško ubistvo u selu Banjska na severu Kosova, piše RSE.		Više javno tužilaštvo u Subotici obustavilo je istragu protiv bivšeg pripadnika Specijalne jedinice Kosovske policije Arbnora Spahijua koji je bio osumnjičen za teško ubistvo u selu Banjska na severu Kosova, piše RSE.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
