sentence_id	label	nedoumica	napomena	annotator
n1i-425235-014	OBJ			Aleksa
pol-767254-014	OBJ			Aleksa
dan-960880264478-011	OBJ			Aleksa
rts-5893107-015	SUBJ			Aleksa
n1i-928873-017	SUBJ			Aleksa
bli-8162721914-003	OBJ			Aleksa
vre-4998388-013	OBJ			Aleksa
vre-4948477-007	OBJ			Aleksa
pol-776155-004	SUBJ			Aleksa
dan-974679248862-008	SUBJ			Aleksa
pol-774641-010	OBJ			Aleksa
pol-783303-007	OBJ			Aleksa
n1i-862314-043	OBJ			Aleksa
pol-752256-018	SUBJ			Aleksa
vre-4982089-013	SUBJ			Aleksa
bli-74228882674-001	OBJ			Aleksa
vre-5012460-018	OBJ			Aleksa
bli-9099111866-001	OBJ			Aleksa
rts-5512009-012	OBJ			Aleksa
dan-991507817792-007	OBJ			Aleksa
vre-5000424-007	OBJ			Aleksa
dan-356165045608-002	OBJ			Aleksa
pol-761066-053	SUBJ			Aleksa
n1i-289896-000	OBJ			Aleksa
dan-799233598578-019	OBJ			Aleksa
dan-371249651231-043	OBJ			Aleksa
vre-5011555-018	OBJ			Aleksa
bli-36147663713-008	SUBJ			Aleksa
bli-78075228580-019	OBJ			Aleksa
n1i-746572-004	OBJ			Aleksa
dan-127084395572-001	OBJ			Aleksa
dan-350606325793-014	OBJ			Aleksa
pol-754422-014	OBJ			Aleksa
pol-783293-008	OBJ			Aleksa
n1i-184573-004	OBJ			Aleksa
pol-773910-005	OBJ			Aleksa
dan-628001085166-015	SUBJ			Aleksa
dan-349129965166-016	SUBJ			Aleksa
bli-44931989013-005	OBJ			Aleksa
n1i-593928-022	SUBJ			Aleksa
rts-6034951-007	OBJ			Aleksa
n1i-648790-027	SUBJ			Aleksa
pol-756889-010	SUBJ			Aleksa
dan-273156172461-011	OBJ	Y	Smešno,ali objektivno	Aleksa
dan-755167115591-019	SUBJ			Aleksa
vre-4956785-002	OBJ			Aleksa
pol-750838-008	OBJ			Aleksa
vre-4922837-015	SUBJ			Aleksa
n1i-539601-006	OBJ			Aleksa
n1i-261679-004	OBJ			Aleksa
dan-477652944950-002	OBJ			Aleksa
vre-4931176-024	OBJ			Aleksa
rts-6035021-104	OBJ			Aleksa
n1i-976710-009	SUBJ			Aleksa
bli-36009458462-005	OBJ			Aleksa
pol-761290-024	OBJ			Aleksa
rts-6037180-030	OBJ			Aleksa
dan-836641463989-012	SUBJ			Aleksa
n1i-194167-060	OBJ			Aleksa
n1i-422531-061	OBJ			Aleksa
pol-775535-007	OBJ			Aleksa
n1i-917305-014	SUBJ			Aleksa
bli-28702987466-008	OBJ			Aleksa
vre-4929804-008	OBJ			Aleksa
dan-283305996123-005	OBJ			Aleksa
pol-773572-004	OBJ			Aleksa
bli-49788632110-003	OBJ			Aleksa
vre-4952328-011	OBJ			Aleksa
pol-783397-008	OBJ			Aleksa
vre-4978208-020	OBJ			Aleksa
bli-74351411120-039	OBJ			Aleksa
vre-4991499-004	OBJ			Aleksa
rts-5918793-015	OBJ			Aleksa
pol-747221-022	OBJ			Aleksa
rts-6035082-003	OBJ			Aleksa
dan-359298452358-004	OBJ			Aleksa
pol-774327-018	SUBJ			Aleksa
n1i-786986-042	SUBJ			Aleksa
bli-68156912677-058	SUBJ			Aleksa
pol-749912-013	SUBJ		Svesno odbija je subjektivna fraza22	Aleksa
vre-4937484-004	OBJ			Aleksa
bli-60543088098-006	OBJ			Aleksa
n1i-596877-002	OBJ		XD	Aleksa
bli-27138866441-001	OBJ			Aleksa
pol-715941-002	SUBJ			Aleksa
dan-750327860714-007	SUBJ			Aleksa
rts-6027577-013	OBJ			Aleksa
vre-5008262-016	OBJ			Aleksa
bli-26494592732-017	OBJ	Y	Izražavanje u prvom licu množine sumnjivo	Aleksa
pol-750140-033	OBJ			Aleksa
rts-5617257-033	OBJ			Aleksa
n1i-319384-027	OBJ			Aleksa
vre-4998006-011	OBJ			Aleksa
rts-6011305-011	OBJ			Aleksa
bli-29621128562-005	OBJ			Aleksa
n1i-433443-010	OBJ			Aleksa
bli-20798595648-014	OBJ			Aleksa
pol-763002-031	OBJ			Aleksa
vre-4967138-016	SUBJ	Y	Ocena da neko nije mogao da nasluti	Aleksa
n1i-362140-038	OBJ			Aleksa
bli-71230383589-002	OBJ			Aleksa
n1i-372766-003	OBJ			Aleksa
bli-57014420107-007	OBJ			Aleksa
rts-6032680-005	OBJ			Aleksa
vre-5006760-029	OBJ			Aleksa
n1i-814434-010	OBJ			Aleksa
dan-510123298899-000	SUBJ			Aleksa
pol-759039-069	SUBJ			Aleksa
rts-6027067-008	OBJ			Aleksa
bli-33380391920-007	OBJ			Aleksa
n1i-413363-021	SUBJ			Aleksa
dan-221656367654-018	OBJ			Aleksa
vre-4966200-014	SUBJ			Aleksa
pol-759176-020	OBJ			Aleksa
dan-195060797729-005	OBJ			Aleksa
n1i-742971-007	OBJ			Aleksa
n1i-330787-007	OBJ			Aleksa
n1i-272016-028	OBJ			Aleksa
dan-302863878731-007	SUBJ			Aleksa
bli-34999235599-003	OBJ			Aleksa
dan-636811335761-001	OBJ			Aleksa
dan-738596140573-017	SUBJ			Aleksa
n1i-668917-037	SUBJ			Aleksa
dan-485685474589-010	SUBJ			Aleksa
vre-4977044-019	OBJ			Aleksa
dan-829739063252-004	OBJ			Aleksa
dan-374730168556-003	SUBJ			Aleksa
dan-419895962630-006	OBJ			Aleksa
rts-6035638-061	OBJ			Aleksa
pol-774087-012	SUBJ			Aleksa
vre-4973530-000	OBJ			Aleksa
bli-73951088455-010	SUBJ			Aleksa
vre-4934520-012	SUBJ			Aleksa
dan-809962852959-015	OBJ			Aleksa
vre-5002583-007	SUBJ			Aleksa
vre-4939623-010	OBJ			Aleksa
vre-4928805-007	OBJ			Aleksa
dan-127370657318-029	OBJ			Aleksa
n1i-865459-006	SUBJ	Y	Setiti se može da sugeriše	Aleksa
dan-699151381405-019	SUBJ			Aleksa
rts-5560475-011	SUBJ			Aleksa
n1i-501488-034	SUBJ			Aleksa
vre-4973237-053	SUBJ			Aleksa
n1i-927147-004	OBJ			Aleksa
vre-5002936-033	OBJ			Aleksa
dan-835985637654-001	OBJ			Aleksa
dan-918945551232-030	OBJ			Aleksa
n1i-663709-007	SUBJ			Aleksa
n1i-968871-024	SUBJ			Aleksa
n1i-763930-017	SUBJ			Aleksa
vre-5005332-047	OBJ			Aleksa
dan-579711375602-013	SUBJ			Aleksa
vre-4965741-003	SUBJ			Aleksa
bli-15033754859-007	SUBJ			Aleksa
vre-4982828-015	OBJ			Aleksa
bli-19175683882-005	OBJ			Aleksa
vre-4999756-014	SUBJ			Aleksa
dan-393301420124-013	SUBJ			Aleksa
bli-27357956365-011	OBJ			Aleksa
pol-775648-057	SUBJ			Aleksa
bli-69573754796-024	OBJ			Aleksa
vre-4983491-018	SUBJ			Aleksa
n1i-394443-049	SUBJ			Aleksa
pol-777373-010	SUBJ			Aleksa
rts-6028727-008	OBJ			Aleksa
vre-5006882-002	OBJ			Aleksa
bli-50940487061-008	OBJ			Aleksa
n1i-837189-014	OBJ			Aleksa
pol-782395-004	SUBJ			Aleksa
dan-390414344818-024	OBJ			Aleksa
bli-41869799782-005	OBJ			Aleksa
pol-782898-001	OBJ			Aleksa
pol-771085-002	OBJ			Aleksa
n1i-124956-004	OBJ			Aleksa
rts-5922605-010	SUBJ			Aleksa
bli-57393859413-003	OBJ			Aleksa
n1i-770591-017	SUBJ			Aleksa
bli-65121201597-002	OBJ			Aleksa
n1i-720270-034	OBJ			Aleksa
dan-472807206306-007	OBJ			Aleksa
rts-6035594-023	OBJ			Aleksa
n1i-417709-039	OBJ			Aleksa
dan-388455945945-006	SUBJ			Aleksa
pol-756279-008	SUBJ			Aleksa
bli-13582197086-003	OBJ			Aleksa
dan-353908777753-008	OBJ			Aleksa
vre-4975127-020	OBJ			Aleksa
n1i-722816-023	SUBJ			Aleksa
pol-749395-019	SUBJ			Aleksa
pol-771171-037	SUBJ			Aleksa
n1i-992196-009	SUBJ			Aleksa
rts-5996881-012	OBJ			Aleksa
n1i-609675-016	SUBJ			Aleksa
pol-762474-028	OBJ			Aleksa
bli-74843587221-034	OBJ			Aleksa
vre-4927972-030	SUBJ			Aleksa
bli-10273523353-005	SUBJ			Aleksa
pol-779307-000	OBJ			Aleksa
bli-10661856054-004	OBJ			Aleksa
pol-773024-012	SUBJ			Aleksa
n1i-583616-005	SUBJ			Aleksa
n1i-341790-000	OBJ			Aleksa
bli-36086159212-001	OBJ			Aleksa
bli-12874271836-003	OBJ			Aleksa
pol-756787-028	SUBJ			Aleksa
vre-4981395-013	SUBJ			Aleksa
dan-848007019343-023	OBJ			Aleksa
dan-997701263776-009	OBJ			Aleksa
vre-4977512-007	OBJ			Aleksa
rts-6030572-002	SUBJ			Aleksa
rts-6037115-027	OBJ			Aleksa
pol-718657-003	SUBJ			Aleksa
rts-5863565-012	OBJ			Aleksa
dan-342624403880-003	SUBJ			Aleksa
pol-749400-032	SUBJ			Aleksa
dan-223022264918-008	OBJ			Aleksa
n1i-288928-022	SUBJ			Aleksa
vre-4934233-027	OBJ			Aleksa
bli-74432851928-001	OBJ			Aleksa
dan-983130627570-010	OBJ			Aleksa
bli-6905056231-005	OBJ			Aleksa
vre-4978189-000	OBJ			Aleksa
n1i-467835-011	SUBJ			Aleksa
vre-4957979-022	OBJ			Aleksa
pol-770279-020	OBJ			Aleksa
n1i-514975-009	SUBJ			Aleksa
bli-70949011516-004	OBJ			Aleksa
n1i-537390-003	OBJ			Aleksa
n1i-315167-018	SUBJ			Aleksa
n1i-244258-028	SUBJ			Aleksa
pol-783067-000	OBJ			Aleksa
vre-5010643-006	SUBJ	Y	Na neki način je procena autora	Aleksa
dan-861209451198-012	OBJ			Aleksa
vre-4972996-010	SUBJ			Aleksa
rts-5526817-045	OBJ			Aleksa
pol-748724-016	SUBJ			Aleksa
n1i-597570-002	OBJ			Aleksa
rts-5548870-010	SUBJ			Aleksa
vre-5009070-011	SUBJ			Aleksa
bli-46800433886-005	OBJ			Aleksa
n1i-148573-009	SUBJ			Aleksa
vre-4983057-000	OBJ			Aleksa
n1i-154621-024	OBJ			Aleksa
bli-55144293120-004	SUBJ	Y	Koji 'Srbi'? Više deluje da je ocena autora	Aleksa
dan-300071456986-004	OBJ			Aleksa
vre-5000401-001	OBJ			Aleksa
n1i-901147-007	OBJ			Aleksa
pol-764415-046	SUBJ			Aleksa
n1i-995339-004	OBJ			Aleksa
